Month,Cricket,football,Basketball
2004-01,11,38,26
2004-02,6,30,27
2004-03,17,29,37
2004-04,8,30,18
2004-05,7,32,17
2004-06,7,37,15
2004-07,10,37,13
2004-08,8,52,18
2004-09,8,68,15
2004-10,8,62,18
2004-11,7,57,24
2004-12,8,42,23
2005-01,8,38,25
2005-02,6,34,28
2005-03,9,31,35
2005-04,9,32,18
2005-05,7,32,16
2005-06,8,31,15
2005-07,10,34,12
2005-08,14,55,12
2005-09,13,72,16
2005-10,9,68,16
2005-11,12,63,24
2005-12,9,45,23
2006-01,10,38,25
2006-02,11,34,27
2006-03,10,30,34
2006-04,9,35,18
2006-05,8,37,15
2006-06,8,64,13
2006-07,8,45,12
2006-08,7,57,19
2006-09,8,81,16
2006-10,7,66,17
2006-11,8,60,24
2006-12,10,44,22
2007-01,10,40,22
2007-02,10,30,26
2007-03,22,29,33
2007-04,14,30,17
2007-05,8,30,14
2007-06,8,29,12
2007-07,8,38,11
2007-08,8,57,12
2007-09,12,78,15
2007-10,9,66,15
2007-11,10,60,21
2007-12,9,46,20
2008-01,11,39,22
2008-02,10,31,24
2008-03,9,30,30
2008-04,8,31,16
2008-05,8,31,14
2008-06,8,36,13
2008-07,8,33,11
2008-08,9,57,20
2008-09,4,74,12
2008-10,9,59,14
2008-11,11,64,19
2008-12,9,46,20
2009-01,8,38,23
2009-02,10,33,23
2009-03,11,30,33
2009-04,9,32,16
2009-05,9,33,14
2009-06,13,30,13
2009-07,10,32,10
2009-08,9,55,11
2009-09,11,81,14
2009-10,8,70,14
2009-11,11,66,20
2009-12,14,52,21
2010-01,13,44,22
2010-02,14,34,23
2010-03,9,33,32
2010-04,8,36,16
2010-05,11,36,14
2010-06,10,52,12
2010-07,11,40,10
2010-08,14,56,14
2010-09,8,84,16
2010-10,13,70,14
2010-11,14,67,21
2010-12,17,49,21
2011-01,17,44,23
2011-02,24,32,25
2011-03,45,30,34
2011-04,20,30,16
2011-05,12,29,13
2011-06,12,27,14
2011-07,13,32,10
2011-08,13,55,12
2011-09,12,84,15
2011-10,12,73,14
2011-11,16,64,21
2011-12,16,50,23
2012-01,16,43,24
2012-02,23,33,28
2012-03,22,30,32
2012-04,15,35,17
2012-05,13,31,15
2012-06,9,35,15
2012-07,13,33,17
2012-08,13,54,21
2012-09,20,87,13
2012-10,13,71,15
2012-11,14,72,23
2012-12,22,49,23
2013-01,21,43,24
2013-02,14,34,28
2013-03,21,30,36
2013-04,17,30,22
2013-05,16,29,14
2013-06,23,27,15
2013-07,20,31,12
2013-08,13,64,12
2013-09,10,86,15
2013-10,18,69,16
2013-11,22,68,23
2013-12,23,53,23
2014-01,17,41,27
2014-02,20,31,30
2014-03,26,28,39
2014-04,18,31,19
2014-05,17,31,16
2014-06,10,44,14
2014-07,15,37,12
2014-08,14,62,13
2014-09,12,81,18
2014-10,11,70,15
2014-11,16,74,23
2014-12,19,51,24
2015-01,19,42,26
2015-02,40,31,29
2015-03,60,27,41
2015-04,17,27,20
2015-05,16,26,15
2015-06,15,25,15
2015-07,16,28,12
2015-08,14,51,11
2015-09,8,96,17
2015-10,15,82,16
2015-11,16,80,24
2015-12,10,49,25
2016-01,20,43,31
2016-02,19,34,35
2016-03,40,27,42
2016-04,16,30,21
2016-05,16,28,16
2016-06,12,33,16
2016-07,12,30,13
2016-08,15,49,23
2016-09,12,99,13
2016-10,20,84,16
2016-11,20,77,25
2016-12,18,54,28
2017-01,19,39,31
2017-02,18,29,34
2017-03,23,24,46
2017-04,16,28,20
2017-05,15,25,17
2017-06,41,24,17
2017-07,20,26,13
2017-08,19,51,13
2017-09,22,100,17
2017-10,21,85,18
2017-11,21,78,30
2017-12,28,56,30
2018-01,31,41,34
2018-02,35,30,37
2018-03,23,26,51
2018-04,21,28,20
2018-05,20,25,16
2018-06,15,52,14
2018-07,18,45,13
2018-08,21,52,13
2018-09,31,97,14
2018-10,22,84,16
2018-11,20,74,31
2018-12,25,56,29
2019-01,29,42,34
2019-02,23,31,38
2019-03,28,28,56
2019-04,24,29,23
2019-05,24,27,17
2019-06,95,27,17
2019-07,63,27,14
2019-08,25,56,15
2019-09,17,95,26
2019-10,17,78,18
2019-11,18,81,32
2019-12,20,62,30
2020-01,28,42,37
2020-02,23,28,41
2020-03,11,18,24
2020-04,4,14,12
2020-05,4,15,12
2020-06,4,20,11
2020-07,8,26,10
2020-08,10,28,12
2020-09,15,51,13
2020-10,24,59,13
2020-11,15,54,16
2020-12,21,51,28
2021-01,20,39,24
2021-02,23,29,29
2021-03,25,25,43
2021-04,24,27,19
2021-05,10,27,15
2021-06,16,36,15
2021-07,19,32,22
2021-08,29,42,20
2021-09,24,89,13
2021-10,34,80,16
2021-11,37,83,27
2021-12,21,56,29
2022-01,24,41,30
2022-02,20,28,37
2022-03,28,25,48
2022-04,27,27,23
2022-05,24,26,18
2022-06,24,24,18
2022-07,34,25,16
2022-08,28,45,15
2022-09,41,93,21
2022-10,49,84,18
2022-11,55,98,29
2022-12,40,82,30
2023-01,45,47,34
2023-02,33,32,40
2023-03,37,29,50
2023-04,58,41,58
